Time,Frequency
20200105-130639,9
20200105-130739,10
20200105-130839,20
20200105-130939,13
20200105-131039,16
20200105-131139,11
20200105-131239,20
20200105-131339,11
20200105-131440,11
20200105-131540,17
20200105-131640,14
20200105-131740,9
20200105-131840,13
